Radiotherapy,Gender,Marital status,Race,Pathologic grade,Histologic type,T staging,N staging,Chemotherapy,RNE,CEA,Tumor size (cm),HR Total
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,Negative,>5cm,0.833524
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,Negative,NOS,0.93972
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,Positive,≤5cm,1.129192
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,Positive,>5cm,1.231948472
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,Positive,NOS,1.38890616
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,NOS,≤5cm,0.9710439999999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,NOS,>5cm,1.059409004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,NOS,NOS,1.1943841199999998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,Negative,≤5cm,0.53862
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,Negative,>5cm,0.58763442
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,Negative,NOS,0.6625025999999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,Positive,≤5cm,0.7960803599999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,Positive,>5cm,0.8685236727599999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,Positive,NOS,0.9791788427999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,NOS,≤5cm,0.6845860199999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,NOS,>5cm,0.7468833478199999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,≥12,NOS,NOS,0.8420408045999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,Negative,≤5cm,1.1330120000000001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,Negative,>5cm,1.236116092
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,Negative,NOS,1.39360476
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,Positive,≤5cm,1.6745917360000002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,Positive,>5cm,1.8269795839760001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,Positive,NOS,2.05974783528
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,NOS,≤5cm,1.440058252
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,NOS,>5cm,1.571103552932
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,NOS,NOS,NOS,1.77127164996
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,Negative,≤5cm,1.913
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,Negative,>5cm,2.087083
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,Negative,NOS,2.35299
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,Positive,≤5cm,2.827414
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,Positive,>5cm,3.084708674
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,Positive,NOS,3.47771922
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,NOS,≤5cm,2.4314229999999997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,NOS,>5cm,2.6526824929999995
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,<12,NOS,NOS,2.9906502899999996
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,Negative,≤5cm,1.348665
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,Negative,>5cm,1.471393515
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,Negative,NOS,1.65885795
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,Positive,≤5cm,1.99332687
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,Positive,>5cm,2.17471961517
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,Positive,NOS,2.4517920501
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,NOS,≤5cm,1.7141532149999998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,NOS,>5cm,1.8701411575649998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,≥12,NOS,NOS,2.1084084544499997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,Negative,≤5cm,2.8369790000000004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,Negative,>5cm,3.095144089
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,Negative,NOS,3.4894841700000003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,Positive,≤5cm,4.193054962000001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,Positive,>5cm,4.574622963542001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,Positive,NOS,5.157457603260001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,NOS,≤5cm,3.605800309
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,NOS,>5cm,3.933928137119
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,No,NOS,NOS,NOS,4.43513438007
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,Negative,≤5cm,1.461532
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,Negative,>5cm,1.594531412
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,Negative,NOS,1.79768436
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,Positive,≤5cm,2.160144296
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,Positive,>5cm,2.3567174269359996
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,Positive,NOS,2.65697748408
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,NOS,≤5cm,1.857607172
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,NOS,>5cm,2.026649424652
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,<12,NOS,NOS,2.28485682156
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,Negative,≤5cm,1.03038006
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,Negative,>5cm,1.12414464546
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,Negative,NOS,1.2673674737999998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,Positive,≤5cm,1.52290172868
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,Positive,>5cm,1.66148578598988
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,Positive,NOS,1.8731691262763999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,NOS,≤5cm,1.30961305626
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,NOS,>5cm,1.4287878443796598
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,≥12,NOS,NOS,1.6108240591997998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,Negative,≤5cm,2.1674519560000003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,Negative,>5cm,2.3646900839960003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,Negative,NOS,2.6659659058800003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,Positive,≤5cm,3.2034939909680005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,Positive,>5cm,3.4950119441460883
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,Positive,NOS,3.9402976088906407
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,NOS,≤5cm,2.754831436076
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,NOS,>5cm,3.005521096758916
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N+,Yes,NOS,NOS,NOS,3.38844266637348
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,Negative,≤5cm,1.971
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,Negative,>5cm,2.150361
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,Negative,NOS,2.42433
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,Positive,≤5cm,2.913138
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,Positive,>5cm,3.178233558
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,Positive,NOS,3.58315974
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,NOS,≤5cm,2.505141
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,NOS,>5cm,2.733108831
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,<12,NOS,NOS,3.08132343
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,Negative,≤5cm,1.3895549999999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,Negative,>5cm,1.5160045049999997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,Negative,NOS,1.7091526499999998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,Positive,≤5cm,2.05376229
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,Positive,>5cm,2.24065465839
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,Positive,NOS,2.5261276166999997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,NOS,≤5cm,1.7661244049999998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,NOS,>5cm,1.9268417258549997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,≥12,NOS,NOS,2.17233301815
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,Negative,≤5cm,2.9229930000000004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,Negative,>5cm,3.1889853630000005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,Negative,NOS,3.5952813900000002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,Positive,≤5cm,4.320183654000001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,Positive,>5cm,4.713320366514001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,Positive,NOS,5.313825894420001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,NOS,≤5cm,3.7151241030000004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,NOS,>5cm,4.053200396373001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,No,NOS,NOS,NOS,4.569602646690001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,Negative,≤5cm,1.5058440000000002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,Negative,>5cm,1.6428758040000002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,Negative,NOS,1.85218812
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,Positive,≤5cm,2.225637432
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,Positive,>5cm,2.428170438312
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,Positive,NOS,2.73753404136
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,NOS,≤5cm,1.913927724
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,NOS,>5cm,2.088095146884
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,<12,NOS,NOS,2.35413110052
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,Negative,≤5cm,1.06162002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,Negative,>5cm,1.15822744182
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,Negative,NOS,1.3057926246
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,Positive,≤5cm,1.5690743895600001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,Positive,>5cm,1.71186015900996
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,Positive,NOS,1.9299614991588
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,NOS,≤5cm,1.3493190454200001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,NOS,>5cm,1.4721070785532202
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,≥12,NOS,NOS,1.6596624258666002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,Negative,≤5cm,2.2331666520000004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,Negative,>5cm,2.436384817332
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,Negative,NOS,2.7467949819600004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,Positive,≤5cm,3.3006203116560004
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,Positive,>5cm,3.6009767600166964
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,Positive,NOS,4.0597629833368805
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,NOS,≤5cm,2.8383548146920003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,NOS,>5cm,3.096645102828972
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N0,Yes,NOS,NOS,NOS,3.4911764220711605
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,Negative,≤5cm,3.7705230000000003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,Negative,>5cm,4.113640593
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,Negative,NOS,4.63774329
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,Positive,≤5cm,5.5728329940000005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,Positive,>5cm,6.079960796454
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,Positive,NOS,6.85458458262
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,NOS,≤5cm,4.792334733
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,NOS,>5cm,5.228437193703
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,<12,NOS,NOS,5.894571721589999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,Negative,≤5cm,2.658218715
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,Negative,>5cm,2.9001166180649998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,Negative,NOS,3.26960901945
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,Positive,≤5cm,3.9288472607699996
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,Positive,>5cm,4.286372361500069
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,Positive,NOS,4.832482130747099
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,NOS,≤5cm,3.3785959867649997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,NOS,>5cm,3.6860482215606147
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,≥12,NOS,NOS,4.15567306372095
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,Negative,≤5cm,5.591685609000001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,Negative,>5cm,6.100528999419001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,Negative,NOS,6.877773299070001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,Positive,≤5cm,8.264511330102001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,Positive,>5cm,9.016581861141283
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,Positive,NOS,10.165348936025461
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,NOS,≤5cm,7.107032409039
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,NOS,>5cm,7.753772358261549
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,No,NOS,NOS,NOS,8.74164986311797
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,Negative,≤5cm,2.8806795720000005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,Negative,>5cm,3.1428214130520002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,Negative,NOS,3.5432358735600005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,Positive,≤5cm,4.2576444074160005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,Positive,>5cm,4.645090048490856
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,Positive,NOS,5.236902621121681
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,NOS,≤5cm,3.6613437360120002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,NOS,>5cm,3.9945260159890923
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,<12,NOS,NOS,4.50345279529476
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,Negative,≤5cm,2.0308790982600002
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,Negative,>5cm,2.21568909620166
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,Negative,NOS,2.4979812908598005
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,Positive,≤5cm,3.00163930722828
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,Positive,>5cm,3.2747884841860535
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,Positive,NOS,3.6920163478907844
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,NOS,≤5cm,2.5812473338884603
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,NOS,>5cm,2.81614084127231
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,≥12,NOS,NOS,3.174934220682806
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,Negative,≤5cm,4.272047805276001
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,Negative,>5cm,4.660804155556117
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,Negative,NOS,5.254618800489482
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,Positive,≤5cm,6.314086656197929
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,Positive,>5cm,6.888668541911941
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,Positive,NOS,7.766326587123453
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,NOS,≤5cm,5.429772760505797
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,NOS,>5cm,5.923882081711824
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T3-4,N+,Yes,NOS,NOS,NOS,6.67862049542213
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,Negative,≤5cm,1.552
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,Negative,>5cm,1.693232
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,Negative,NOS,1.90896
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,Positive,≤5cm,2.293856
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,Positive,>5cm,2.502596896
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,Positive,NOS,2.8214428799999998
Non-RT,Female,Married,White,Grade I/II,MCC/SRCC,T1-2,N0,No,<12,NOS,≤5cm,1.972592
